CONDITION|CARDIOLOGY|DERMATOLOGY|ENDOCRINOLOGY|GI_HEPATOLOGY|IMMUNO_RHEUMATOLOGY|INFECTIOUS_DISEASES|NEPHROLOGY|NEUROLOGY|PSYCH_GENERAL|PSYCH_SPECIFIC|ONCOLOGY_GENERAL|ONCOLOGY_SPECIFIC|OTOLARYNGOLOGY|PULMONARY_MEDICINE|REPRODUCTIVE_MEDICINE|PAD|PVD|BONE_GENERAL|BONE_SPECIFIC|DIABETES_GENERAL|DIABETES_SPECIFIC|THYROID_GENERAL|HEPATOLOGY_SPECIFIC
Bleeding|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Deep Vein Thrombosis|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N
Degenerative Disc Disease|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Diabetes Type 2|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N
Growth Hormone Deficiency|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
HIV-1 Infection|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Peripheral Artery Disease|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Recurrent Adult Diffuse Large Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Recurrent Grade 3 Follicular Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Soft Tissue Sarcoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Acute Ischemic Stroke|Y|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Brain Injury|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Brain Tumor|Y|N|N|N|N|N|N|Y|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N
Diabetic Foot Ulcers|N|N|Y|N|N|Y|N|N|N|N|N|N|N|N|N|M|N|N|N|Y|Y|N|N
Epithelial Ovarian Cancer|N|N|Y|N|N|N|N|N|N|N|Y|Y|N|N|Y|N|N|N|N|N|N|N|N
HCV Infection|N|N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y
In Vitro Fertilization|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Percutaneous Coronary Intervention|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Primary Insomnia|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Psychosocial Effects of Cancer and Its Treatment|N|N|N|N|N|N|N|N|Y|N|Y|Y|N|N|Y|N|N|N|N|N|N|N|N
Severe Sepsis|N|N|N|N|N|y|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Skin Cancer|N|y|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stress Urinary Incontinence|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Urinary Tract Infection|N|N|N|N|N|y|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Acute Renal Failure|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Adult Acute Myeloid Leukemia With T(16;16)(p13;q22)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced Cancers|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Hodgkin Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Japanese Encephalitis|N|N|N|N|N|y|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Kidney Disease|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Lower Urinary Tract Symptoms|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Mechanical Ventilation|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Metastatic Pancreatic Cancer|N|N|Y|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Nausea and Vomiting|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Nodal Marginal Zone B-cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Peripheral Neuropathy|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Prematurity|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Psoriasis Vulgaris|N|y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Recurrent Adult Acute Myeloid Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Recurrent Adult Burkitt Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Recurrent Marginal Zone Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Refractory Multiple Myeloma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Respiratory Failure|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Small Intestine Cancer|N|N|N|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Splenic Marginal Zone Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Systemic Sclerosis|N|y|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Tobacco Dependence|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Acne|N|y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Avascular Necrosis|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Drug Abuse|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Myelofibrosis|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Postherpetic Neuralgia|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Recurrent Adult Lymphoblastic Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|N|y|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Ventilator Associated Pneumonia|N|N|N|N|N|y|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Abdominal Aortic Aneurysm|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Acute Respiratory Distress Syndrome|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adult Acute Myeloid Leukemia With T(8;21)(q22;q22)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Anaplastic Astrocytoma|N|N|N|N|N|N|N|Y|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Bacterial Vaginosis|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Chemotherapeutic Agent Toxicity|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Congenital Heart Disease|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Coronary Artery Stenosis|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
De Novo Myelodysplastic Syndromes|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Functional Dyspepsia|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
General Anesthesia|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Hip Fracture|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N
Liver Disease|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y
MDS|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Mild Cognitive Impairment|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Nonneoplastic Condition|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Obsessive Compulsive Disorder|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Obstructive Sleep Apnea Syndrome|N|N|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N
Open Angle Glaucoma|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Prevention|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Recurrent Adult Diffuse Mixed Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Recurrent Adult Immunoblastic Large Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Recurrent Small Lymphocytic Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Solid Cancers|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Acute Pain|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N
Adult Acute Myeloid Leukemia With T(15;17)(q22;q12)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced Non-Small Cell Lung Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced Solid Malignancies|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Anxiety Disorder|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Brain Metastases|N|N|N|N|N|N|N|Y|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Cataracts|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Cognitive Impairment|N|N|N|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Meningococcal Disease|N|N|N|N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Methamphetamine Dependence|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Nonalcoholic Steatohepatitis|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y
Primary Peritoneal Cancer|N|N|N|Y|N|N|N|N|N|N|Y|Y|N|N|Y|N|N|N|N|N|N|N|N
Recurrent Mycosis Fungoides/Sezary Syndrome|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Relapsing Remitting Multiple Sclerosis|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Small Lymphocytic Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Acute Lymphocytic Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced Malignancies|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Anaplastic Large Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Chronic Constipation|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Chronic Plaque Psoriasis|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Contrast Induced Nephropathy|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Critically Ill|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Endothelial Function|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
GERD|N|N|N|Y|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N
Helicobacter Pylori Infection|N|N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Malignant Glioma|N|N|N|N|N|N|N|Y|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Metastatic Renal Cell Carcinoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Non-Small-Cell Lung Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Preeclampsia|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Psychosis|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Rotavirus Gastroenteritis|N|N|N|Y|N|y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Substance Dependence|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Transient Ischemic Attack|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Vascular Disease|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|M|N|N|N|N|N|N
Adult Acute Myeloid Leukemia With Del(5q)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adult Acute Myeloid Leukemia in Remission|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced Breast Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Angioimmunoblastic T-cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Arrhythmia|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
B-cell Chronic Lymphocytic Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Bipolar I Disorder|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Bone Metastases|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Brain Tumors|N|N|N|N|N|N|N|Y|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Burn|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Chemotherapy|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|
Childhood Obesity|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|
Diabetic Foot Ulcer|N|N|Y|N|N|Y|N|N|N|N|N|N|N|N|N|M|N|N|N|Y|Y|N|N|
Diabetic Neuropathy|N|N|Y|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|
Duchenne Muscular Dystrophy|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|
Dysphagia|N|N|N|Y|N|N|N|Y|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|
Falls|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|
Gastroesophageal Reflux Disease (GERD)|N|N|N|Y|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|
Human Immunodeficiency Virus|N|N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|
IGA Nephropathy|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|
Infection| Human Immunodeficiency Virus|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Infections|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|
Migraine Headache|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|
NSCLC|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|
Neurotoxicity|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|
Non-Alcoholic Fatty Liver Disease|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|
Non-Hodgkin Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Pandemic Influenza|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Peripheral T-Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Peritoneal Cancer|N|N|N|Y|N|N|N|N|N|N|Y|Y|N|N|Y|N|N|N|N|N|N|N|N
Post-Traumatic Arthritis|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Previously Treated Myelodysplastic Syndromes|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Proliferative Diabetic Retinopathy|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N
Secondary Myelodysplastic Syndromes|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Varicella|N|y|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Adult Nasal Type Extranodal NK/T-cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|N|N
Aplastic Anemia|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Autism Spectrum Disorder|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Basal Cell Carcinoma|N|y|N|N|N|N|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|N|N
Breast Reconstruction|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Cancer Survivor|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|Y|N|N|N|N|N|N|N|N
Cardiovascular Risk|Y|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Chronic Pancreatitis|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Cognitive Function|N|N|N|N|N|N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Coronary Atherosclerosis|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Critical Limb Ischemia|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Dengue Fever|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Dilated Cardiomyopathy|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Gestational Diabetes|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|Y|Y|N|N
Hematological Malignancies|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Human Papillomavirus Infection|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Myelodysplasia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Opioid Dependency|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Paroxysmal Atrial Fibrillation|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Periodontal Disease|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N
Recurrent Adult Hodgkin Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Ventricular Tachycardia|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Acute Coronary Syndromes|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Adult Acute Lymphoblastic Leukemia in Remission|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Alcohol Consumption|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Anaemia|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Blastic Phase Chronic Myelogenous Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Breastfeeding|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
CML|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Cardiomyopathy|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Chronic Fatigue Syndrome|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Chronic Sinusitis|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N
Fungal Infection|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
HIV/AIDS|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Hepatic Impairment|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y
Huntington's Disease|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Insulin Sensitivity|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N
Intracerebral Hemorrhage|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Major Depressive Disorder (MDD)|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Nasopharyngeal Carcinoma|N|N|N|N|N|N|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|N|N
Obesity Prevention|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Oral Mucositis|N|y|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N
Recurrent Adult Grade III Lymphomatoid Granulomatosis|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N
Refractive Error|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Respiratory Distress Syndrome|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
